00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	07	07	07	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	07	07	07	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	07	07	07	01	01	01	01	02	02	02	02	02	02	02	02	02	01	01	01	01	01	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	00	00	00	00	00	00	07	07	07	01	01	01	01	01	01	02	02	02	02	02	02	02	02	02	01	01	01	01	01	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	00	00	00	00	07	07	07	01	01	01	01	01	01	01	01	02	02	02	02	02	02	02	02	02	01	01	01	01	01	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	00	00	07	07	07	01	01	01	01	01	01	01	01	01	02	02	02	02	02	02	02	02	02	02	01	01	01	01	01	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	00	00	07	07	07	01	01	01	01	01	01	01	01	01	01	01	01	03	01	01	01	01	01	01	01	01	01	01	01	01	01	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	00	00	07	07	07	01	01	01	01	01	01	01	01	01	01	01	01	01	02	02	02	02	02	02	02	02	02	02	02	01	01	01	02	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	00	00	07	07	07	01	01	01	01	01	01	01	01	01	01	01	01	01	01	02	01	03	01	05	01	01	01	01	01	03	01	04	01	01	01	03	01	02	01	01	01	01	01	01	01	01	01	01	01	01
00	00	07	07	07	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	03	01	01	01	01	09	01	01	03	01	01	01	01	01	03	01	02	01	01	01	01	01	01	01	01	01	01	01	01
07	07	07	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	03	01	01	01	01	01	01	01	03	01	01	01	01	01	03	01	02	01	01	01	01	01	01	01	01	01	01	01	01
02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	02	01	01	01	01	01	01	01	01	01	01	01	01
